01/02/2022,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,Bed days in RP,195
01/02/2022,NEWMARKET HOUSE HEALTHCARE LTD,Bed days in RP,245
01/02/2022,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,250
01/02/2022,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,255
01/02/2022,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,Bed days in RP,305
01/02/2022,WHITTINGTON HEALTH NHS TRUST,Bed days in RP,315
01/02/2022,BRAMLEY HEALTH,Bed days in RP,330
01/02/2022,ACTIVE PATHWAYS,Bed days in RP,390
01/02/2022,RIVERDALE GRANGE LIMITED,Bed days in RP,425
01/02/2022,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,450
01/02/2022,JOHN MUNROE HOSPITAL,Bed days in RP,490
01/02/2022,EQUILIBRIUM HEALTHCARE,Bed days in RP,500
01/02/2022,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,530
01/02/2022,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,Bed days in RP,540
01/02/2022,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,Bed days in RP,725
01/02/2022,NEWBRIDGE CARE SYSTEMS,Bed days in RP,750
01/02/2022,ELLERN MEDE,Bed days in RP,860
01/02/2022,SOLENT NHS TRUST,Bed days in RP,915
01/02/2022,ISLE OF WIGHT NHS TRUST,Bed days in RP,920
01/02/2022,MAKING SPACE,Bed days in RP,950
01/02/2022,ST MARTHA'S,Bed days in RP,1230
01/02/2022,NAVIGO HEALTH AND SOCIAL CARE CIC,Bed days in RP,1660
01/02/2022,CHESWOLD PARK HOSPITAL,Bed days in RP,2170
01/02/2022,ST MAGNUS HOSPITAL,Bed days in RP,2185
01/02/2022,LIVEWELL SOUTHWEST,Bed days in RP,2540
01/02/2022,INMIND HEALTHCARE - HEAD OFFICE,Bed days in RP,3165
01/02/2022,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,3305
01/02/2022,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,Bed days in RP,3380
01/02/2022,SOMERSET NHS FOUNDATION TRUST,Bed days in RP,3630
01/02/2022,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,3655
01/02/2022,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Bed days in RP,3765
01/02/2022,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,Bed days in RP,3785
01/02/2022,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,4110
01/02/2022,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,Bed days in RP,4355
01/02/2022,HUMBER TEACHING NHS FOUNDATION TRUST,Bed days in RP,4445
01/02/2022,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,Bed days in RP,4545
01/02/2022,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,4645
01/02/2022,ST MATTHEWS HEALTHCARE,Bed days in RP,4695
01/02/2022,SURREY AND BORDERS PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,4995
01/02/2022,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,Bed days in RP,5530
01/02/2022,ROTHERHAM DONCASTER AND SOUTH HUMBER NHS FOUNDATION TRUST,Bed days in RP,5560
01/02/2022,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,5700
01/02/2022,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,Bed days in RP,5855
01/02/2022,NORTHAMPTONSHIRE HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,6375
01/02/2022,NORTH EAST LONDON NHS FOUNDATION TRUST,Bed days in RP,6500
01/02/2022,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,Bed days in RP,7120
01/02/2022,MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,7655
01/02/2022,DEVON PARTNERSHIP NHS TRUST,Bed days in RP,7890
01/02/2022,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,8420
01/02/2022,LEICESTERSHIRE PARTNERSHIP NHS TRUST,Bed days in RP,8470
01/02/2022,LEEDS AND YORK PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,8960
01/02/2022,OXLEAS NHS FOUNDATION TRUST,Bed days in RP,9030
01/02/2022,SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST,Bed days in RP,9170
01/02/2022,OXFORD HEALTH NHS FOUNDATION TRUST,Bed days in RP,10100
01/02/2022,SOUTHERN HEALTH NHS FOUNDATION TRUST,Bed days in RP,10625
01/02/2022,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,Bed days in RP,10650
01/02/2022,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,Bed days in RP,10810
