01/12/2021,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,135
01/12/2021,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,Bed days in RP,215
01/12/2021,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,270
01/12/2021,NEWMARKET HOUSE HEALTHCARE LTD,Bed days in RP,285
01/12/2021,WHITTINGTON HEALTH NHS TRUST,Bed days in RP,320
01/12/2021,RIVERDALE GRANGE LIMITED,Bed days in RP,405
01/12/2021,ACTIVE PATHWAYS,Bed days in RP,415
01/12/2021,BRAMLEY HEALTH,Bed days in RP,465
01/12/2021,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,480
01/12/2021,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Bed days in RP,615
01/12/2021,EQUILIBRIUM HEALTHCARE,Bed days in RP,650
01/12/2021,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,Bed days in RP,685
01/12/2021,NEWBRIDGE CARE SYSTEMS,Bed days in RP,790
01/12/2021,SOLENT NHS TRUST,Bed days in RP,930
01/12/2021,ELLERN MEDE,Bed days in RP,995
01/12/2021,MAKING SPACE,Bed days in RP,1060
01/12/2021,ISLE OF WIGHT NHS TRUST,Bed days in RP,1145
01/12/2021,ST MARTHA'S,Bed days in RP,1320
01/12/2021,JOHN MUNROE HOSPITAL,Bed days in RP,1580
01/12/2021,NAVIGO HEALTH AND SOCIAL CARE CIC,Bed days in RP,1655
01/12/2021,CHESWOLD PARK HOSPITAL,Bed days in RP,2415
01/12/2021,ST MAGNUS HOSPITAL,Bed days in RP,2575
01/12/2021,LIVEWELL SOUTHWEST,Bed days in RP,2810
01/12/2021,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,Bed days in RP,3660
01/12/2021,NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST,Bed days in RP,3675
01/12/2021,SOMERSET NHS FOUNDATION TRUST,Bed days in RP,3730
01/12/2021,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,Bed days in RP,3910
01/12/2021,SHEFFIELD HEALTH & SOCIAL CARE NHS FOUNDATION TRUST,Bed days in RP,4055
01/12/2021,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,Bed days in RP,4060
01/12/2021,ST MATTHEWS HEALTHCARE,Bed days in RP,4890
